"UC","Pontos_Totais","Riqueza_Observada","Riqueza_30_pontos","Riqueza_50_pontos","Riqueza_100_pontos","Riqueza_500_pontos","Riqueza_1000_pontos","Riqueza_2500_pontos","Riqueza_5000_pontos","Completude_30","Completude_100","Completude_500"
"372",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
